iter	Logloss
0	0.6685203186
1	0.645198318
2	0.6246850266
3	0.604400012
4	0.5874313121
5	0.5725270373
6	0.5596094213
7	0.5484558895
8	0.5348415715
9	0.5254313722
10	0.5159387377
11	0.5083204471
12	0.4993111271
13	0.4924545639
14	0.4856779003
15	0.480099893
16	0.4732858593
17	0.468448393
18	0.464560555
19	0.4600313865
20	0.4550993893
21	0.4500399192
22	0.446798244
23	0.4434437306
24	0.4400178816
25	0.4356764639
26	0.4322597871
27	0.4266949473
28	0.4235179791
29	0.4208928675
30	0.4180394296
31	0.4156598842
32	0.4125525942
33	0.4098197467
34	0.4074172507
35	0.4039018279
36	0.401612235
37	0.3995182672
38	0.397436664
39	0.3948691819
40	0.3925547914
41	0.3901325418
42	0.3872854575
43	0.385572586
44	0.3838535174
45	0.3809366837
46	0.3787039166
47	0.3772803878
48	0.3741991007
49	0.3721184597
50	0.3700799417
51	0.3685087792
52	0.3669408726
53	0.3652981828
54	0.3640383346
55	0.3627476336
56	0.3616901906
57	0.3601049046
58	0.3584416199
59	0.3577175483
60	0.3562394173
61	0.3553857813
62	0.3538768056
63	0.3521009694
64	0.3510082541
65	0.34976769
66	0.3491452096
67	0.3480393171
68	0.3468509772
69	0.3461136444
70	0.345292308
71	0.344182489
72	0.3431236512
73	0.3414448626
74	0.3403067386
75	0.3394824007
76	0.3383402797
77	0.3372238658
78	0.3366230286
79	0.3360292413
80	0.3343666363
81	0.3334848183
82	0.3324938609
83	0.3318407691
84	0.3308454274
85	0.3303860658
86	0.3299433961
87	0.3288873918
88	0.3273774842
89	0.326131069
90	0.3253204847
91	0.3245280172
92	0.3241228378
93	0.323381931
94	0.3227559981
95	0.3218006687
96	0.3204368298
97	0.3196948183
98	0.3191468161
99	0.3181669534
100	0.3174386
101	0.3166207833
102	0.3161897877
103	0.3154116893
104	0.3148894938
105	0.3141741924
106	0.3133961635
107	0.3130636031
108	0.3124012712
109	0.311881493
110	0.3116179266
111	0.3104291902
112	0.3095857259
113	0.3089238887
114	0.3079256096
115	0.3071263233
116	0.3062754814
117	0.3056886617
118	0.3053039767
119	0.3048713767
120	0.3042406771
121	0.3033090481
122	0.3030228573
123	0.3023588404
124	0.3014547607
125	0.3011693279
126	0.3007220787
127	0.3003955714
128	0.2996464752
129	0.2991757274
130	0.2981796946
131	0.2973083213
132	0.2962350456
133	0.2955128167
134	0.2948133014
135	0.2943776035
136	0.2935742362
137	0.2933229536
138	0.2929243225
139	0.2922778594
140	0.2914214291
141	0.2909015326
142	0.2896527544
143	0.2892191526
144	0.2884392564
145	0.2876819022
146	0.2871459175
147	0.286822935
148	0.2863343619
149	0.2853144159
150	0.2846148062
151	0.2841551878
152	0.2834430551
153	0.2826964731
154	0.2823146489
155	0.2816437445
156	0.2812765965
157	0.2801361068
158	0.2796977591
159	0.2789309634
160	0.2782355652
161	0.2775284045
162	0.2767672307
163	0.2762415168
164	0.2759470431
165	0.2752653955
166	0.2747464824
167	0.2745172194
168	0.2739620501
169	0.2732936651
170	0.2726178493
171	0.2720428205
172	0.2714090765
173	0.2707186384
174	0.2703540285
175	0.2694625128
176	0.2691794144
177	0.2686921267
178	0.2684008475
179	0.2678031077
180	0.267148367
181	0.2669845177
182	0.2662949933
183	0.2659715105
184	0.2654751384
185	0.2647501357
186	0.2641086675
187	0.2635724556
188	0.262749267
189	0.2619863927
190	0.2616157513
191	0.2612501913
192	0.2602925043
193	0.2595275871
194	0.2591748534
195	0.258457635
196	0.2576917989
197	0.2569319404
198	0.2567312806
199	0.2561326672
200	0.2557981857
201	0.2553164265
202	0.2547607848
203	0.2543613486
204	0.2537259008
205	0.2533441675
206	0.2529600208
207	0.2521210126
208	0.2517256823
209	0.2515512001
210	0.2510692254
211	0.2505577809
212	0.2500891714
213	0.2497370884
214	0.2492225322
215	0.248598773
216	0.2481910787
217	0.247669381
218	0.2472808438
219	0.2464304955
220	0.2462220518
221	0.2455731421
222	0.2447321046
223	0.2438758456
224	0.2432378428
225	0.2425128399
226	0.2417955818
227	0.2414897508
228	0.2405689301
229	0.2402290438
230	0.2394130962
231	0.2386834189
232	0.2380406758
233	0.237363843
234	0.2370742825
235	0.2364877326
236	0.235581146
237	0.2352589666
238	0.2347404554
239	0.2342260955
240	0.23398441
241	0.2336495065
