iter	Passed	Remaining
401	13737	9295
402	13778	9265
403	13809	9229
404	13838	9191
405	13869	9155
406	13899	9118
407	13930	9082
408	13960	9045
409	13992	9009
410	14024	8974
411	14054	8937
412	14087	8902
413	14117	8866
414	14150	8831
415	14183	8796
416	14215	8761
417	14247	8725
418	14289	8696
419	14322	8661
420	14353	8625
421	14383	8589
422	14417	8554
423	14447	8518
424	14479	8483
425	14510	8447
426	14545	8413
427	14577	8378
428	14607	8342
429	14641	8308
430	14675	8274
431	14712	8241
432	14744	8206
433	14789	8178
434	14823	8144
435	14856	8109
436	14890	8075
437	14924	8041
438	14959	8007
439	14995	7974
440	15032	7942
441	15068	7909
442	15103	7875
443	15143	7844
444	15176	7810
445	15208	7774
446	15242	7740
447	15276	7706
448	15320	7677
449	15359	7645
450	15448	7638
451	15521	7623
452	15555	7589
453	15594	7556
454	15632	7524
455	15664	7488
456	15723	7465
457	15759	7432
458	15794	7398
459	15837	7367
460	15871	7333
461	15904	7298
462	15937	7263
463	15971	7228
464	16005	7193
465	16040	7159
466	16080	7127
467	16113	7092
468	16150	7059
469	16188	7026
470	16221	6991
471	16257	6957
472	16293	6923
473	16341	6895
474	16377	6861
475	16413	6827
476	16451	6794
477	16499	6765
478	16536	6732
479	16570	6697
480	16619	6668
481	16662	6637
482	16697	6602
483	16737	6570
484	16772	6536
485	16810	6502
486	16852	6471
487	16888	6436
488	16924	6403
489	16959	6368
490	16994	6334
491	17031	6300
492	17069	6267
493	17105	6232
494	17137	6197
495	17177	6164
496	17214	6130
497	17254	6098
498	17295	6065
499	17333	6031
500	17383	6002
501	17421	5969
502	17467	5938
503	17507	5905
504	17544	5871
505	17609	5846
506	17646	5812
507	17680	5777
508	17716	5743
509	17748	5707
510	17783	5672
511	17817	5637
512	17848	5601
513	17897	5571
514	17929	5535
515	17959	5499
516	17998	5465
517	18033	5430
518	18069	5396
519	18101	5360
520	18133	5325
521	18164	5289
522	18199	5254
523	18232	5219
524	18264	5183
525	18300	5149
526	18332	5113
527	18366	5078
528	18410	5046
529	18443	5010
530	18477	4975
531	18512	4941
532	18543	4905
533	18574	4869
534	18606	4834
535	18641	4799
536	18675	4764
537	18708	4729
538	18744	4694
539	18778	4659
540	18812	4624
541	18843	4589
542	18875	4553
543	18914	4519
544	18945	4484
545	18977	4449
546	19010	4413
547	19040	4377
548	19072	4342
549	19105	4307
550	19135	4271
551	19170	4237
552	19204	4201
553	19234	4166
554	19266	4131
555	19300	4096
556	19333	4061
557	19364	4025
558	19407	3992
559	19440	3957
560	19476	3923
561	19513	3888
562	19554	3855
563	19597	3822
564	19642	3789
565	19682	3755
566	19718	3721
567	19754	3686
568	19802	3654
569	19834	3618
570	19869	3584
571	19902	3548
572	19944	3515
573	19985	3481
574	20024	3447
575	20057	3412
576	20089	3377
577	20120	3341
578	20153	3306
579	20183	3271
580	20215	3235
581	20246	3200
582	20278	3165
583	20311	3130
584	20351	3096
585	20381	3060
586	20411	3025
587	20454	2991
588	20486	2956
589	20517	2921
590	20548	2885
591	20583	2851
592	20616	2816
593	20652	2781
594	20686	2746
595	20717	2711
596	20751	2676
597	20782	2641
598	20816	2606
599	20848	2571
600	20882	2536
601	20916	2501
602	20963	2468
603	20997	2433
604	21035	2399
605	21069	2364
606	21105	2329
607	21137	2294
608	21169	2259
609	21201	2224
610	21233	2189
611	21268	2154
612	21299	2119
613	21335	2084
614	21366	2049
615	21397	2014
616	21431	1979
617	21473	1945
618	21509	1911
619	21541	1876
620	21574	1841
621	21606	1806
622	21638	1771
623	21669	1736
624	21702	1701
625	21736	1666
626	21771	1631
627	21803	1597
628	21835	1562
629	21867	1527
630	21900	1492
631	21932	1457
632	21962	1422
633	22005	1388
634	22039	1353
635	22072	1318
636	22107	1284
637	22139	1249
638	22172	1214
639	22208	1179
640	22242	1145
641	22275	1110
642	22309	1075
643	22340	1040
644	22371	1005
645	22403	971
646	22436	936
647	22468	901
648	22515	867
649	22548	832
650	22582	797
651	22615	763
652	22646	728
653	22683	693
654	22720	659
655	22752	624
656	22789	589
657	22825	555
658	22861	520
659	22895	485
660	22927	450
661	22980	416
662	23021	381
663	23055	347
664	23088	312
665	23120	277
666	23152	242
667	23183	208
668	23217	173
669	23249	138
670	23282	104
671	23313	69
672	23346	34
673	23379	0
