iter	Logloss
0	0.6685203186
1	0.6452465306
2	0.6247278677
3	0.6058322414
4	0.5885602441
5	0.5734560146
6	0.5605121351
7	0.5493144636
8	0.5379231782
9	0.5280506531
10	0.5197587871
11	0.5104241479
12	0.5019569142
13	0.4943429998
14	0.4884915526
15	0.4830037914
16	0.4778345696
17	0.4726742784
18	0.4669219119
19	0.4624763249
20	0.4578358616
21	0.4537363869
22	0.4495357498
23	0.4454955924
24	0.4417725129
25	0.4372965142
26	0.4335673745
27	0.4303161006
28	0.427191622
29	0.4220493861
30	0.4190997307
31	0.4172696699
32	0.4147811503
33	0.412176424
34	0.4101310549
35	0.4062697647
36	0.4034961942
37	0.4018175766
38	0.3988527693
39	0.3962515343
40	0.393541934
41	0.3910886159
42	0.3890041992
43	0.3874355792
44	0.3849339419
45	0.3829746669
46	0.3813944178
47	0.3799409255
48	0.3780037692
49	0.3766722425
50	0.3753048399
51	0.3736269834
52	0.3723342111
53	0.3704211486
54	0.3684266761
55	0.3668904485
56	0.365316815
57	0.3641556581
58	0.3629644543
59	0.3613814056
60	0.3603800917
61	0.3582809496
62	0.3562755555
63	0.354878695
64	0.3538244585
65	0.3524541849
66	0.3514885234
67	0.350525852
68	0.3496199621
69	0.3486492396
70	0.3477119516
71	0.346759231
72	0.3450627164
73	0.3440732368
74	0.3429675949
75	0.3418122894
76	0.3410311304
77	0.3397710987
78	0.3384186501
79	0.3373892478
80	0.336730899
81	0.335724662
82	0.3349109369
83	0.333853337
84	0.3331062173
85	0.3325339019
86	0.3314629493
87	0.330829997
88	0.3298696533
89	0.3289506629
90	0.3282755804
91	0.3278057836
92	0.3266293053
93	0.325591602
94	0.3250218811
95	0.3240618254
96	0.3233601322
97	0.3226074809
98	0.321726205
99	0.3209015787
100	0.319996183
101	0.3193138879
102	0.3183369709
103	0.3178311143
104	0.3172437396
105	0.3166604266
106	0.3160222657
107	0.3151559411
108	0.314079956
109	0.3135314583
110	0.3124678795
111	0.3117424424
112	0.3109166769
113	0.3102643386
114	0.3096194122
115	0.3090282248
116	0.3083672481
117	0.3076470951
118	0.306601618
119	0.3050368862
120	0.3045225218
121	0.3033210046
122	0.3030353827
123	0.302687814
124	0.3021566672
125	0.3015550843
126	0.3010415952
127	0.3003710829
128	0.2997912723
129	0.2992875112
130	0.2981085466
131	0.297459559
132	0.2967406465
133	0.2963781494
134	0.2954362862
135	0.2944404789
136	0.293886358
137	0.2934164995
138	0.2927100806
139	0.2924388688
140	0.2918196519
141	0.291525176
142	0.2908846043
143	0.2902569187
144	0.2894889457
145	0.2892653124
146	0.2887673786
147	0.2884496244
148	0.2879341014
149	0.2877236115
150	0.287384558
151	0.2868876641
152	0.2862735889
153	0.2861079277
154	0.2855178006
155	0.2850701558
156	0.283953666
157	0.2833942117
158	0.282617087
159	0.282249748
160	0.2812538999
161	0.2806610608
162	0.2799378405
163	0.2794069794
164	0.2789153309
165	0.278594194
166	0.277863752
167	0.2772496987
168	0.2768864833
169	0.2762314809
170	0.2755919687
171	0.2747790781
172	0.2745096359
173	0.2738153053
174	0.2732036247
175	0.2722316091
176	0.2718478876
177	0.2712255145
178	0.2706102458
179	0.269568864
180	0.2688705876
181	0.2684939144
182	0.2682476468
183	0.2676728269
184	0.2666880527
185	0.266069982
186	0.2655346001
187	0.2649774812
188	0.2641074407
189	0.263817732
190	0.2632502564
191	0.26283126
192	0.2621694777
193	0.2615492998
194	0.2608764185
195	0.2603089288
196	0.259729452
197	0.2590550666
198	0.2584360338
199	0.2580068349
200	0.2577799108
201	0.257439882
202	0.2567699466
203	0.2564165378
204	0.2557134311
205	0.255250124
206	0.2546197816
207	0.2544586911
208	0.2539574473
209	0.2538480577
210	0.2532162654
211	0.2522319988
212	0.2518447799
213	0.2513387645
214	0.2508497879
215	0.250090314
216	0.2496518573
217	0.2490648165
218	0.2484827731
219	0.2482923122
220	0.2478330426
221	0.2471800689
222	0.2467323894
223	0.2465091826
224	0.2459955633
225	0.2452679821
226	0.2448825802
227	0.2446557167
228	0.2444313001
229	0.244161394
230	0.2436382484
231	0.2431355256
232	0.2427516146
233	0.2423661972
234	0.2420949205
235	0.2416022818
236	0.2413559616
237	0.2408230636
238	0.2401830536
239	0.2395768706
240	0.2394167337
241	0.2385368424
